size,type,threshold,time_ms
4700,random,5,0.6
4700,random,10,0.559
4700,random,20,0.517
4700,random,30,0.543
4700,random,50,0.535
4700,reversed,0,0.371
4700,reversed,5,0.306
4700,reversed,10,0.27
4700,reversed,20,0.362
4700,reversed,30,0.291
4700,reversed,50,0.368
4700,almost,0,0.401
4700,almost,5,0.325
4700,almost,10,0.295
4700,almost,20,0.351
4700,almost,30,0.27
4700,almost,50,0.24
4800,random,0,0.695
4800,random,5,0.619
4800,random,10,0.586
4800,random,20,0.521
4800,random,30,0.534
4800,random,50,0.76
4800,reversed,0,0.471
4800,reversed,5,0.381
4800,reversed,10,0.368
4800,reversed,20,0.343
4800,reversed,30,0.374
4800,reversed,50,0.407
4800,almost,0,0.426
4800,almost,5,0.345
4800,almost,10,0.386
4800,almost,20,0.434
4800,almost,30,0.354
4800,almost,50,0.29
4900,random,0,0.695
4900,random,5,0.639
4900,random,10,0.597
4900,random,20,0.573
4900,random,30,0.567
4900,random,50,0.618
4900,reversed,0,0.394
4900,reversed,5,0.307
4900,reversed,10,0.279
4900,reversed,20,0.295
4900,reversed,30,0.3
4900,reversed,50,0.39
4900,almost,0,0.451
4900,almost,5,0.35
4900,almost,10,0.313
4900,almost,20,0.272
4900,almost,30,0.271
4900,almost,50,0.307
5000,random,0,0.719
5000,random,5,0.604
5000,random,10,0.694
5000,random,20,0.6
5000,random,30,0.599
5000,random,50,0.598
5000,reversed,0,0.411
5000,reversed,5,0.316
5000,reversed,10,0.289
5000,reversed,20,0.289
5000,reversed,30,0.288
5000,reversed,50,0.429
5000,almost,0,0.51
5000,almost,5,0.384
5000,almost,10,0.315
5000,almost,20,0.288
5000,almost,30,0.279
5000,almost,50,0.265
5100,random,0,0.903
5100,random,5,0.659
5100,random,10,0.616
5100,random,20,0.6
5100,random,30,0.596
5100,random,50,0.617
5100,reversed,0,0.439
5100,reversed,5,0.354
5100,reversed,10,0.293
5100,reversed,20,0.313
5100,reversed,30,0.299
5100,reversed,50,0.409
5100,almost,0,0.438
5100,almost,5,0.358
5100,almost,10,0.318
5100,almost,20,0.284
5100,almost,30,0.281
5100,almost,50,0.261
5200,random,0,0.771
5200,random,5,0.68
5200,random,10,0.633
5200,random,20,0.688
5200,random,30,0.665
5200,random,50,0.598
5200,reversed,0,0.512
5200,reversed,5,0.434
5200,reversed,10,0.314
5200,reversed,20,0.357
5200,reversed,30,0.294
5200,reversed,50,0.388
5200,almost,0,0.607
5200,almost,5,0.396
5200,almost,10,0.306
5200,almost,20,0.284
5200,almost,30,0.272
5200,almost,50,0.248
